answer_llm,answer_orig,document,question,course,cosine
"Yes, there will be iterations in future Septembers, with the next ones planned for September 2023 and September 2024, and potentially in other Septembers as well.","The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,Will there be iterations in future Septembers?,machine-learning-zoomcamp,0.5071986
"No, it's not possible to send in your homework late. The form is closed after the due date. However, homework is not mandatory for finishing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,Can I send in my homework late?,machine-learning-zoomcamp,0.7539757
"No, it’s not possible to submit homework after the due date as the form is closed after the deadline. However, it is important to note that homework is not mandatory for finishing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,Is it feasible to submit homework post deadline?,machine-learning-zoomcamp,0.8089663
"If you miss the homework submission deadline, you will not be able to submit it later because the form closes after the due date. However, homework is not mandatory for finishing the course, so you can still complete the course without submitting all homework assignments.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,What happens if I miss the homework submission deadline?,machine-learning-zoomcamp,0.6803648
"No, it's not possible to submit homework after the due date. The form is closed after the due date. However, homework is not mandatory for completing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,"After the due date, can homework still be submitted?",machine-learning-zoomcamp,0.82352316
"No, late homework submissions are generally not accepted because the form is closed after the due date. However, homework is not mandatory for finishing the course. If the form happens to still be open, you may submit your homework and it will be evaluated.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,Are late homework submissions accepted?,machine-learning-zoomcamp,0.7310144
"Welcome to the course! The initial step after joining is to go to the course page (http://mlzoomcamp.com/), scroll down, and start going through the course materials. Then, read everything in the cohort folder for your cohort's year. Click on the links and start watching the videos, including office hours from previous cohorts. Additionally, you can go to the DTC YouTube channel, click on Playlists, and search for your specific course year using the name {course yyyy}. Alternatively, you can directly use this link: http://mlzoomcamp.com/#syllabus.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,What is the initial step after joining the course?,machine-learning-zoomcamp,0.875245
"To view the content of the course, you should go to the course page at [http://mlzoomcamp.com/](http://mlzoomcamp.com/), scroll down, and start going through the course materials. You can also read everything in the cohort folder for your cohort’s year and click on the links to start watching the videos. Additionally, you can watch office hours from previous cohorts. To find the videos and content on YouTube, go to the DTC YouTube channel, click on Playlists, and search for the course by year, such as ""ML Zoomcamp 2021"". You can also directly access the syllabus using [this link](http://mlzoomcamp.com/#syllabus).","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,How can I view the content of the course?,machine-learning-zoomcamp,0.9080367
"You can find the materials related to your cohort by going to the course page at [http://mlzoomcamp.com/](http://mlzoomcamp.com/). Scroll down and start reviewing the course materials, and make sure to read everything in the cohort folder for your cohort’s year. You can also click on links to watch videos and previous office hours, and find more information on DTC YouTube channel playlists by searching for your specific course year.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,Where can I find the materials related to my cohort?,machine-learning-zoomcamp,0.7741063
"You can access the videos from previous office hours in the course playlist on the DTC YouTube channel. To find them, go to the channel, click on ""Playlists,"" and search for the specific course and year. You can also use this link: http://mlzoomcamp.com/#syllabus.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,How do I access the videos from previous office hours?,machine-learning-zoomcamp,0.6771704
ML Zoomcamp was first launched in 2021.,"Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,When was ML Zoomcamp first introduced?,machine-learning-zoomcamp,0.554814
"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page).","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where can I find the deadlines for the 2023 cohort?,machine-learning-zoomcamp,0.99334866
"For the 2023 cohort, deadline information is available on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where is the deadline information available for the 2023 cohort?,machine-learning-zoomcamp,0.96430254
"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page).","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,How do I check the deadlines for the 2023 course?,machine-learning-zoomcamp,0.99334866
"For the 2023 cohort, you can see the deadlines on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Can you show me where to see the 2023 cohort deadlines?,machine-learning-zoomcamp,0.98132205
"For the 2023 cohort, the deadlines are listed on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where are the 2023 cohort deadlines listed?,machine-learning-zoomcamp,0.9703518
"The primary changes between the 2022 and 2023 versions of the course include the removal of a special module (BentoML) that was present in the 2022 iteration and changes in the homework assignments. Otherwise, the rest of the course modules remain the same as in 2022.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,What has changed between the 2022 and 2023 versions of the course?,machine-learning-zoomcamp,0.7850602
"Yes, the 2023 course is missing the special module on BentoML that was part of the 2022 iteration. The rest of the modules remain the same as in 2022, but the homework is different.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Is there any module missing in the 2023 course compared to 2022?,machine-learning-zoomcamp,0.6965303
"No, the homework assignments in the 2023 course are different from those in 2022.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Are the homework assignments in the 2023 course the same as in 2022?,machine-learning-zoomcamp,0.49599424
"Yes, BentoML was included in the 2022 course but not the 2023 course.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Was BentoML included in the 2022 course but not in the 2023 course?,machine-learning-zoomcamp,0.5933764
"Yes, the majority of modules are unchanged from the 2022 course. The only difference in terms of modules is that a special module, BentoML, was included in the previous iteration. However, the rest of the modules remain the same, though the homework has changed in 2023.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Are the majority of modules unchanged from the 2022 course?,machine-learning-zoomcamp,0.81020737
"The course will be using the videos from the previous iteration in 2021. We will not be re-recording the course videos, as the focus and the skills taught in the course remain the same, and the videos are still up-to-date.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Will you be releasing new course videos or using the ones from 2021?,machine-learning-zoomcamp,0.81849617
"No, the course videos are not being re-recorded for this iteration. The focus and skills of the course remain the same, and the existing videos are considered up-to-date.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Are the course videos being re-recorded for this iteration?,machine-learning-zoomcamp,0.81893253
"The skills taught in this iteration remain the same as in 2021. The focus of the course and the skills intended to be taught have not changed, and the course videos from 2021 are still considered up-to-date. However, it is recommended to use Python 3.10 now instead of Python 3.8.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Is there any difference in the skills taught in this iteration compared to 2021?,machine-learning-zoomcamp,0.6783969
"Yes, you should watch the videos even if you didn't take the course in 2021. The course focus and the skills taught have remained the same, and the videos are still up-to-date. Watching them will be useful for you and you will learn new things. Just keep in mind to use Python 3.10 instead of Python 3.8.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Should I watch the videos if I didn't take the course in 2021?,machine-learning-zoomcamp,0.7558236
The recommended Python version for this course iteration is Python 3.10.,"We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Which Python version is recommended for this course iteration?,machine-learning-zoomcamp,0.3361305
"When posting about your course learning on social media, use the tag #mlzoomcamp.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,What tag should I use when posting about my course learning on social media?,machine-learning-zoomcamp,0.69176984
"When submitting your homework, you should include your learning in public links by using the #mlzoomcamp tag on your social media posts. There is a section in the homework submission form where you can enter these links. You can separate multiple links with any whitespace character such as a linebreak, space, or tab. Please note that you can earn extra scores for these posts, but they are capped at 7 points, meaning if you add more than 7 URLs, you will still only receive up to 7 points. For midterms and capstones, the awarded points are doubled to a maximum of 14 points for 14 URLs due to the longer duration of these projects.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,How should I submit my learning in public links when turning in homework?,machine-learning-zoomcamp,0.9094005
"No, it is not possible to earn more than 7 points for posting learning links in weekly homework. The points for posting learning in public links are capped at 7 points, regardless of the number or diversity of posts beyond the first seven.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,Is it possible to earn more than 7 points for posting learning links in weekly homework?,machine-learning-zoomcamp,0.6666759
"Yes, you can post the same content on up to 7 different social sites to earn points for your homework. If you add 7 URLs per week, you can earn up to 7 points.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,Can I post the same content on multiple social sites to earn points for my homework?,machine-learning-zoomcamp,0.6469853
"During midterms and capstones, you can earn up to 14 points for posting public learning links. The points are doubled because the duration of these projects is longer, and you can submit up to 14 URLs to earn the maximum points.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,How many points can I earn for posting public learning links during midterms and capstones?,machine-learning-zoomcamp,0.7037282
"The CONTEXT provided does not contain any information about sharing course projects on a public platform. Therefore, I can't provide an answer based on the available data.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Can I share my course projects on a public platform?,machine-learning-zoomcamp,0.3626653
"To add your notes to the Community Notes section, you need to create your own GitHub repository for the course containing your notes, homework, projects, etc. Then, fork the original course repository and add a link to your notes in your own repository under the 'Community Notes' section. After that, create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,How do I add my notes to the Community Notes section?,machine-learning-zoomcamp,0.8764504
"To sync your changes with the original course repo, you should first create your own GitHub repository for the course with your notes, homework, projects, etc. Then, fork the original course repo and add a link under the 'Community Notes' section to the notes in your own repo. After completing these steps, you can create a pull request to sync your fork with the original course repo.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,What is the process to sync my changes with the original course repo?,machine-learning-zoomcamp,0.9397432
"You should host your course-related notes and projects in your own GitHub repository. Then, you can fork the original course repository and add a link under the 'Community Notes' section pointing to the notes in your own repository. After that, create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Where should I host my course-related notes and projects?,machine-learning-zoomcamp,0.94569343
"You can add a link to your own repository in the course repository under the ""Community Notes"" section. To do this, fork the original course repository, add your link under ""Community Notes,"" and then create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Is there a specific location to add a link to my own repo in the course repository?,machine-learning-zoomcamp,0.90166885
"The leaderboard links for 2023 and 2022 are as follows:

- 2023: [Leaderboard for 2023](https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml)
- 2022: [Leaderboard for 2022](https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml)","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Where can I find the leaderboard links for 2023 and 2022?,machine-learning-zoomcamp,0.4858
"To compute the hash for your email using Python, you can use the following code:

```python
from hashlib import sha1

def compute_hash(email):
    return sha1(email.lower().encode('utf-8')).hexdigest()

# Example usage
email = 'YOUR_EMAIL_HERE'
hashed_email = compute_hash(email)
print(hashed_email)
```

Replace `'YOUR_EMAIL_HERE'` with your actual email address enclosed in quotes, as you need to pass it as a string to the function. Running this code will print the SHA-1 hash of your email.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,How do I compute the hash for my email using Python?,machine-learning-zoomcamp,0.6304992
"No, you do not need to format your email in any special way before computing the hash. However, you should ensure that your email is entered in lowercase, as shown in the provided Python code:

```python
from hashlib import sha1
def compute_hash(email):
    return sha1(email.lower().encode('utf-8')).hexdigest()
```

Make sure to call the function with your email enclosed in quotes to denote it as a string:

```python
print(compute_hash('YOUR_EMAIL_HERE'))
```

This ensures that the hash is computed correctly.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Do I need to format my email in any special way before computing the hash?,machine-learning-zoomcamp,0.5248362
"Yes, you can use an online tool to compute your email's hash. You can enter your email on [this website](http://www.sha1-online.com) to compute its SHA-1 hash. Just copy and paste your hashed email in the ""research"" bar of the leaderboard to get your scores.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Is there an online tool I can use to compute my email's hash?,machine-learning-zoomcamp,0.8137714
"To check your scores on the leaderboard using your hashed email, follow these steps:

1. **Compute your hashed email**: Use the provided Python code to compute the SHA-1 hash of your email.
   ```python
   from hashlib import sha1
   
   def compute_hash(email):
       return sha1(email.lower().encode('utf-8')).hexdigest()
   
   print(compute_hash('YOUR_EMAIL_HERE'))
   ```
   Replace `'YOUR_EMAIL_HERE'` with your actual email within the quotes.

2. **Check the leaderboard**:
   - Once you have your hashed email, visit the leaderboard link for the relevant year:
     - For 2023: [2023 Leaderboard](https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml)
     - For 2022: [2022 Leaderboard](https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml)

3. **Search for your hashed email**: Copy and paste your hashed email into the search bar on the leaderboard spreadsheet to find your scores.

Alternatively, you can also use an online tool like [sha1-online.com](http://www.sha1-online.com) to compute your hashed email by simply entering your email and then proceed with checking the leaderboard as described above.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,How do I use the hashed email to check my scores on the leaderboard?,machine-learning-zoomcamp,0.8850403
"To resolve the issue of 'wget is not recognized as an internal or external command' on a Windows system, you need to install Wget. 

The easiest way to install Wget on Windows is by using Chocolatey, a package manager for Windows. You can do this by executing the following command in an administrative command prompt:

```bash
choco install wget
```

Alternatively, you can download a Wget binary and place it in any location in your PATH, such as `C:/tools/`.

If you prefer using a Python-based solution, you can install the Python Wget library using pip:

```bash
pip install wget
```

Then, in your Python code, you can use:

```python
import wget
wget.download(""URL"")
```

This will download the file from the specified URL to the same directory as your code.","If you get “wget is not recognized as an internal or external command”, you need to install it.
On Ubuntu, run
sudo apt-get install wget
On Windows, the easiest way to install wget is to use Chocolatey:
choco install wget
Or you can download a binary from here and put it to any location in your PATH (e.g. C:/tools/)
On Mac, the easiest way to install wget is to use brew.
Brew install wget
Alternatively, you can use a Python wget library, but instead of simply using “wget” you’ll need eeeto use
python -m wget
You need to install it with pip first:
pip install wget
And then in your python code, for example in your jupyter notebook, use:
import wget
wget.download(""URL"")
This should download whatever is at the URL in the same directory as your code.
(Memoona Tahira)
Alternatively, you can read a CSV file from a URL directly with pandas:
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
df = pd.read_csv(url)
Valid URL schemes include http, ftp, s3, gs, and file.
In some cases you might need to bypass https checks:
import ssl
ssl._create_default_https_context = ssl._create_unverified_context
Or you can use the built-in Python functionality for downloading the files:
import urllib.request
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
urllib.request.urlretrieve(url, ""housing.csv"")
Urllib.request.urlretrieve() is a standard Python library function available on all devices and platforms. URL requests and URL data retrieval are done with the urllib.request module.
The urlretrieve() function allows you to download files from URLs and save them locally. Python programs use it to download files from the internet.
On any Python-enabled device or platform, you can use the urllib.request.urlretrieve() function to download the file.
(Mohammad Emad Sharifi)",49f9bda9,How can I resolve 'wget is not recognized as an internal or external command' on a Windows system?,machine-learning-zoomcamp,0.60460883
"To install wget on a Mac, the easiest method is to use Homebrew. You can do this by running the following command in the Terminal:

```bash
brew install wget
```

This will install wget via Homebrew, making it available for use on your Mac.","If you get “wget is not recognized as an internal or external command”, you need to install it.
On Ubuntu, run
sudo apt-get install wget
On Windows, the easiest way to install wget is to use Chocolatey:
choco install wget
Or you can download a binary from here and put it to any location in your PATH (e.g. C:/tools/)
On Mac, the easiest way to install wget is to use brew.
Brew install wget
Alternatively, you can use a Python wget library, but instead of simply using “wget” you’ll need eeeto use
python -m wget
You need to install it with pip first:
pip install wget
And then in your python code, for example in your jupyter notebook, use:
import wget
wget.download(""URL"")
This should download whatever is at the URL in the same directory as your code.
(Memoona Tahira)
Alternatively, you can read a CSV file from a URL directly with pandas:
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
df = pd.read_csv(url)
Valid URL schemes include http, ftp, s3, gs, and file.
In some cases you might need to bypass https checks:
import ssl
ssl._create_default_https_context = ssl._create_unverified_context
Or you can use the built-in Python functionality for downloading the files:
import urllib.request
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
urllib.request.urlretrieve(url, ""housing.csv"")
Urllib.request.urlretrieve() is a standard Python library function available on all devices and platforms. URL requests and URL data retrieval are done with the urllib.request module.
The urlretrieve() function allows you to download files from URLs and save them locally. Python programs use it to download files from the internet.
On any Python-enabled device or platform, you can use the urllib.request.urlretrieve() function to download the file.
(Mohammad Emad Sharifi)",49f9bda9,What are the steps to install wget on a Mac?,machine-learning-zoomcamp,0.44980103
